DateTime,Date,Time,Month,Year,Day of Week,Hour,Accident Location,PCF Description,PCF Category,Involved Objects,Party at Fault,Suspected Serious Injury,Suspected Minor Injury,Suspected Possible Injury,Injury Severity,ObjectId,x,y
10/3/2019 3:30:00 AM,2019-10-02,20:30:00,10,2019,2.0,20,Gilman Street & San Pablo Avenue,VC 22106: Unsafe starting or backing of vehicle on highway,"Turning, Starting, Signaling","1 Car, 1 Parked Vehicle",Driver,0,0,0,No Injury,8076,-13613914.6060615,4562553.3109357
12/19/2017 11:00:00 PM,2017-12-19,15:00:00,12,2017,1.0,15,Parker Street & San Pablo Avenue,VC 22107: Unsafe turning or moving of vehicle on roadway,"Turning, Starting, Signaling",1 Parked Vehicle,Driver,0,0,0,No Injury,8077,-13613157.4615516,4559574.0350036
11/30/2017 8:48:00 PM,2017-11-30,12:48:00,11,2017,3.0,12,Parker Street & San Pablo Avenue,VC 22107: Unsafe turning or moving of vehicle on roadway,"Turning, Starting, Signaling","1 Car, 1 Parked Vehicle",Driver,0,0,0,No Injury,8078,-13613157.4615516,4559574.0350036
8/23/2017 6:15:00 PM,2017-08-23,11:15:00,8,2017,2.0,11,San Pablo Avenue,VC 22106: Unsafe starting or backing of vehicle on highway,"Turning, Starting, Signaling","1 Car, 1 Fixed Object",Driver,0,0,0,No Injury,8079,-13613210.4016711,4559559.77848893
7/3/2017 11:51:00 PM,2017-07-03,16:51:00,7,2017,0.0,16,Parker Street & San Pablo Avenue,VC 21804(a): Failure to yield to traffic when entering highway,Right of Way,2 Car,Driver,0,0,0,No Injury,8080,-13613157.4615516,4559574.0350036
2/4/2017 7:30:00 AM,2017-02-03,23:30:00,2,2017,4.0,23,Parker Street & San Pablo Avenue,VC 21950(a): Failure to yield to pedestrian in crosswalk,Pedestrians,"1 Car, 1 Pedestrian",Driver,0,0,0,Unspecified Injury,8081,-13613157.4615516,4559574.0350036
11/26/2016 9:00:00 PM,2016-11-26,13:00:00,11,2016,5.0,13,Parker Street & San Pablo Avenue,VC 23152(a): Driving under the influence of alcohol,"Alcohol, DUI, Drug Offenses","1 Car, 1 Parked Vehicle",Driver,0,0,0,No Injury,8082,-13613157.4615516,4559574.0350036
5/26/2016 8:59:00 PM,2016-05-26,13:59:00,5,2016,3.0,13,Parker Street & San Pablo Avenue,VC 22517: Opening vehicle door into traffic (Dooring),"Stopping, Standing, Park",1 Parked Vehicle,Object,0,0,0,Unspecified Injury,8083,-13613157.4615516,4559574.0350036
3/13/2016 5:02:00 AM,2016-03-12,21:02:00,3,2016,5.0,21,Parker Street & San Pablo Avenue,VC 22107: Unsafe turning or moving of vehicle on roadway,"Turning, Starting, Signaling",1 Parked Vehicle,Driver,0,0,0,No Injury,8084,-13613157.4615516,4559574.0350036
4/26/2015 6:10:00 PM,2015-04-26,11:10:00,4,2015,6.0,11,Parker Street & San Pablo Avenue,VC 22106: Unsafe starting or backing of vehicle on highway,"Turning, Starting, Signaling",1 Parked Vehicle,Driver,0,0,0,No Injury,8085,-13613157.4615516,4559574.0350036
1/27/2015 12:35:00 AM,2015-01-26,16:35:00,1,2015,0.0,16,Parker Street & San Pablo Avenue,VC 22107: Unsafe turning or moving of vehicle on roadway,"Turning, Starting, Signaling","1 Car, 1 Parked Vehicle",Driver,0,0,0,No Injury,8086,-13613157.4615516,4559574.0350036
9/16/2014 10:09:00 PM,2014-09-16,15:09:00,9,2014,1.0,15,Parker Street & San Pablo Avenue,VC 22107: Unsafe turning or moving of vehicle on roadway,"Turning, Starting, Signaling","1 Motorcycle, 1 Truck",Driver,0,0,0,Unspecified Injury,8087,-13613157.4615516,4559574.0350036
